mPhyDis1	S1	0	10100	4	4	0.37	0.17	0.42
mPhyDis1	S1	6340700	6374600	4	7	0.29	0.19	0.37
mPhyDis1	S1	6390700	6412900	4	6	0.17	0.12	0.22
mPhyDis1	S1	6445800	6456100	4	4	0.26	0.10	0.28
mPhyDis1	S1	80596000	80606900	21	21	0.16	0.23	0.31
mPhyDis1	S1	105842000	105863000	4	6	0.36	0.04	0.37
mPhyDis1	S1	105897600	105910900	4	4	0.47	0.02	0.47
mPhyDis1	S1	111326500	111335400	14	14	0.17	0.43	0.50
mPhyDis1	S1	112302100	112312200	4	4	0.19	0.14	0.23
mPhyDis1	S1	112457900	112500200	4	5	0.61	0.30	0.65
mPhyDis1	S1	112510100	112532200	4	7	0.80	0.20	0.85
mPhyDis1	S1	112533800	112546100	7	7	0.17	0.05	0.18
mPhyDis1	S1	112636400	112642200	4	4	0.41	0.44	0.45
mPhyDis1	S1	115236600	115289900	6	6	0.50	0.23	0.53
mPhyDis1	S1	119173600	119185700	4	4	0.28	0.02	0.28
mPhyDis1	S1	127268900	127287800	21	21	0.00	0.36	0.36
mPhyDis1	S1	129482600	129489700	4	4	0.73	0.82	0.84
mPhyDis1	S1	131565200	131583300	4	4	0.33	0.11	0.35
mPhyDis1	S1	136596200	136601400	12	12	0.13	0.31	0.36
mPhyDis1	S1	136824200	136831800	4	4	0.17	0.10	0.17
mPhyDis1	S1	136887900	136910700	5	10	0.27	0.09	0.28
mPhyDis1	S1	136931600	136943000	21	21	0.08	0.27	0.32
mPhyDis1	S1	137168700	137170300	11	11	0.31	0.00	0.31
mPhyDis1	S1	137760000	137766100	6	6	0.64	0.04	0.68
mPhyDis1	S1	147392900	147418000	4	4	0.39	0.24	0.41
mPhyDis1	S1	147517900	147534500	5	5	0.35	0.09	0.38
mPhyDis1	S1	169756400	169761900	21	21	0.94	0.99	1.00
mPhyDis1	S1	204878400	204901200	4	5	0.50	0.17	0.56
mPhyDis1	S1	214871300	214898800	4	13	0.18	0.13	0.29
