mRhiFer1	LINECR1	110
mRhiFer1	LINEL1	63
mRhiFer1	LINEL2	234
mRhiFer1	LTRERV1	258
mRhiFer1	LTRERVK	2963
mRhiFer1	Simple_repeat	72
mRhiFer1	tRNA	64
mLynCan4	LINEL1	25023
mLynCan4	Low_complexity	593
mLynCan4	SINEtRNA	2681
mLynCan4	Simple_repeat	848
mOrnAna1	DNATcMar-Tigger	135
mOrnAna1	DNAhAT-Ac	111
mOrnAna1	LINEL2	93094
mOrnAna1	LINERTE-BovB	202
mOrnAna1	LTRERV1	9584
mOrnAna1	LTRERVK	451
mOrnAna1	LTRERVL	18729
mOrnAna1	LTRERVL?	944
mOrnAna1	Low_complexity	6249
mOrnAna1	SINECore-RTE	248
mOrnAna1	SINEMIR	28998
mOrnAna1	SINEtRNA	268
mOrnAna1	SINEtRNA-Core	60
mOrnAna1	SINEtRNA-Core-RTE	197
mOrnAna1	Satellite	2423944
mOrnAna1	Segmental	11114
mOrnAna1	Simple_repeat	41826
mOrnAna1	Unknown	336
bTaeGut1	LTRERV1	22091
bTaeGut1	LTRERVK	15377
bTaeGut2	LINER2	4665
bTaeGut2	LTRERV1	10971
bTaeGut2	Low_complexity	84
bTaeGut2	SINE?	983
bTaeGut2	Simple_repeat	130
bTaeGut2	rRNA	1519
rGopEvg1	Low_complexity	65
fMasArm1	rRNA	995
fAnaTes1	Simple_repeat	20
fArcCen1	Simple_repeat	4497
fAstCal1	Simple_repeat	801
fCotGob3	Simple_repeat	14113
fCotGob3	rRNA	5463
fCotGob3	tRNA	9042
fGouWil2	Simple_repeat	1152
fGouWil2	rRNA	7595
sAmbRad1	Low_complexity	1442
sAmbRad1	SINEtRNA-V	683
sAmbRad1	Simple_repeat	291210
