mRhiFer1	LINECR1	110
mRhiFer1	LINEL1	181
mRhiFer1	LINEL2	234
mRhiFer1	LTRERV1	4731
mRhiFer1	LTRERVK	3246
mRhiFer1	Simple_repeat	112
mRhiFer1	tRNA	64
mLynCan4	LINEL1	25023
mLynCan4	Low_complexity	593
mLynCan4	SINEtRNA	2681
mLynCan4	Simple_repeat	6011
mOrnAna1	DNATcMar-Tigger	135
mOrnAna1	DNAhAT-Ac	111
mOrnAna1	LINEL2	94249
mOrnAna1	LINERTE-BovB	202
mOrnAna1	LTRERV1	9584
mOrnAna1	LTRERVK	451
mOrnAna1	LTRERVL	18729
mOrnAna1	LTRERVL?	944
mOrnAna1	Low_complexity	6249
mOrnAna1	SINECore-RTE	248
mOrnAna1	SINEMIR	29566
mOrnAna1	SINEtRNA	268
mOrnAna1	SINEtRNA-Core	60
mOrnAna1	SINEtRNA-Core-RTE	197
mOrnAna1	Satellite	2465885
mOrnAna1	Segmental	11114
mOrnAna1	Simple_repeat	42004
mOrnAna1	Unknown	336
bTaeGut1	LINECR1	181
bTaeGut1	LINER2	4666
bTaeGut1	LTRERV1	44896
bTaeGut1	LTRERVK	72049
bTaeGut1	LTRERVL	20213
bTaeGut1	SINE?	983
bTaeGut1	Satellite	140
bTaeGut1	Simple_repeat	7064
bTaeGut1	rRNA	1315
bTaeGut2	LINER2	9336
bTaeGut2	LTRERV1	11885
bTaeGut2	LTRERVK	27406
bTaeGut2	LTRERVL	4255
bTaeGut2	Low_complexity	84
bTaeGut2	SINE?	1966
bTaeGut2	Simple_repeat	259
bTaeGut2	rRNA	2782
bStrHab1	LTRERV1	19725
bStrHab1	LTRERVK	5624
bStrHab1	Low_complexity	8451
bStrHab1	Simple_repeat	5459
rGopEvg1	DNAhAT-Blackjack	72
rGopEvg1	LINECR1	373
rGopEvg1	LTRERV1	642
rGopEvg1	Low_complexity	454
rGopEvg1	SINE5S-Deu-L2	38
rGopEvg1	Simple_repeat	221
rGopEvg1	tRNA	152
fMasArm1	Low_complexity	850
fMasArm1	Simple_repeat	1958
fMasArm1	rRNA	995
fAnaTes1	Simple_repeat	20
fArcCen1	Low_complexity	43
fArcCen1	Simple_repeat	5013
fAstCal1	Low_complexity	332
fAstCal1	Simple_repeat	2413
fCotGob3	Simple_repeat	29710
fCotGob3	rRNA	9944
fCotGob3	tRNA	11056
fGouWil2	Low_complexity	236
fGouWil2	Simple_repeat	2043
fGouWil2	rRNA	10633
sAmbRad1	Low_complexity	3379
sAmbRad1	SINEtRNA-V	882
sAmbRad1	Simple_repeat	355615
