start1	end1	start2	end2	col
3538087993	3538087993	2370162691	2370162691	28
3565771628	3565771628	2304322248	2304322248	28
2845883787	2845883787	4441925435	4441925435	28
931630682	931630682	613813219	613813219	28
928441279	928441279	610437687	610437687	28
926745638	926745638	608514953	608514953	28
912487451	912487451	594179063	594179063	28
885042944	885042944	566094468	566094468	28
884178386	884178386	565203158	565203158	28
3540196838	3540196838	2372234766	2372234766	28
895992096	895992096	577259075	577259075	28
3586150935	3586150935	2348308293	2348308293	28
3623711225	3623711225	2315346785	2315346785	28
3628269135	3628269135	2310347009	2310347009	28
3574820973	3574820973	2299951865	2299951865	28
3572415920	3572415920	2300456215	2300456215	28
3538438017	3538438017	2370453068	2370453068	28
3624394343	3624394343	2314606877	2314606877	28
3587576946	3587576946	2349783563	2349783563	28
1627209367	1627209367	257738174	257738174	27
3879901409	3879901409	3613463538	3613463538	27
3876094611	3876094611	3617423019	3617423019	27
3876049548	3876049548	3617448199	3617448199	27
3875992007	3875992007	3617487414	3617487414	27
3879257310	3879257310	3614215238	3614215238	27
1623893269	1623893269	261447381	261447381	27
1623940884	1623940884	261386491	261386491	27
1627192691	1627192691	257759345	257759345	27
3839024507	3839024507	3592620513	3592620513	27
1629796389	1629796389	254883626	254883626	27
1635507665	1635507665	248660501	248660501	27
1637287508	1637287508	246752024	246752024	27
1544134174	1544134174	204446059	204446059	27
1541413698	1541413698	201884092	201884092	27
1540656722	1540656722	201088567	201088567	27
1353248493	1353248493	76163488	76163488	27
1375753059	1375753059	97815891	97815891	27
1632470315	1632470315	251928166	251928166	27
849189345	849189345	527561233	527561233	26
819554330	819554330	497120813	497120813	26
833048116	833048116	510321047	510321047	26
839600859	839600859	517198844	517198844	26
844680412	844680412	522700051	522700051	26
846602617	846602617	524815094	524815094	26
2541305942	2541305942	2072849004	2072849004	26
855086664	855086664	533886805	533886805	26
859505205	859505205	538662805	538662805	26
863601311	863601311	542985397	542985397	26
870605620	870605620	550504600	550504600	26
859149147	859149147	538314759	538314759	26
3775476453	3775476453	1964784577	1964784577	25
4194315320	4194315320	3847018271	3847018271	25
4196182889	4196182889	3826577671	3826577671	25
4198608276	4198608276	3829938867	3829938867	25
4161399900	4161399900	3830603116	3830603116	25
4154596235	4154596235	3837353024	3837353024	25
4157111950	4157111950	3822282681	3822282681	25
2762233321	2762233321	1912329328	1912329328	25
2783210548	2783210548	1934718567	1934718567	25
2789159470	2789159470	1941323164	1941323164	25
2832231413	2832231413	4453328879	4453328879	25
3337067802	3337067802	2836045127	2836045127	25
2830284530	2830284530	4455455473	4455455473	25
4210595438	4210595438	3890602058	3890602058	25
4213592092	4213592092	3893619848	3893619848	25
4213846084	4213846084	3893796278	3893796278	25
4184380697	4184380697	3850984005	3850984005	25
4143104864	4143104864	3848701892	3848701892	25
4177338502	4177338502	3863557513	3863557513	25
4142027862	4142027862	3849763349	3849763349	25
4209584699	4209584699	3889643891	3889643891	25
4210041529	4210041529	3890062157	3890062157	25
4168201068	4168201068	3872225101	3872225101	25
4171573361	4171573361	3869062892	3869062892	25
4173325873	4173325873	3867192081	3867192081	25
4208426667	4208426667	3888145345	3888145345	25
4348355312	4348355312	3908200487	3908200487	25
4193177479	4193177479	3847605830	3847605830	25
4191392868	4191392868	3857637956	3857637956	25
4184638874	4184638874	3851215499	3851215499	25
4191080106	4191080106	3857319361	3857319361	25
4481397220	4481397220	4104648180	4104648180	24
4465053331	4465053331	4110524152	4110524152	24
4466428276	4466428276	4111980943	4111980943	24
4480757522	4480757522	4113395880	4113395880	24
4484785717	4484785717	4115160910	4115160910	24
248234117	248234117	1457773418	1457773418	23
222545453	222545453	1485413961	1485413961	23
250387423	250387423	1455472363	1455472363	23
224072998	224072998	1483748227	1483748227	23
248174920	248174920	1457861322	1457861322	23
228542113	228542113	1479164649	1479164649	23
224176033	224176033	1483641913	1483641913	23
218103087	218103087	1490536719	1490536719	23
222184687	222184687	1485593463	1485593463	23
384065708	384065708	1319142533	1319142533	23
4812581686	4812581686	3232050620	3232050620	23
5177710352	5177710352	4814326107	4814326107	23
383194059	383194059	1320440066	1320440066	23
386475171	386475171	1316833188	1316833188	23
271818153	271818153	1433878674	1433878674	23
278414858	278414858	1426601830	1426601830	23
439454320	439454320	1265798691	1265798691	23
5165599336	5165599336	4758582477	4758582477	23
2071216159	2071216159	3516875789	3516875789	22
2068481640	2068481640	3514193435	3514193435	22
2068458507	2068458507	3514163708	3514163708	22
2072391404	2072391404	3518105474	3518105474	22
2071403565	2071403565	3517075125	3517075125	22
2069822701	2069822701	3515423135	3515423135	22
2071141492	2071141492	3516803202	3516803202	22
2070094920	2070094920	3515706120	3515706120	22
2070010686	2070010686	3515617254	3515617254	22
4225709299	4225709299	3734602054	3734602054	22
4256821950	4256821950	3727452161	3727452161	22
4256291835	4256291835	3728061399	3728061399	22
4437221182	4437221182	4089564886	4089564886	22
4256974738	4256974738	3727429082	3727429082	22
4246512395	4246512395	3742948562	3742948562	22
4236514694	4236514694	3751887615	3751887615	22
4259148772	4259148772	3725234976	3725234976	22
4257821734	4257821734	3726597566	3726597566	22
4258689345	4258689345	3725684414	3725684414	22
4245194109	4245194109	3741558706	3741558706	22
4435760318	4435760318	4091314624	4091314624	22
4443374351	4443374351	4073808842	4073808842	22
4444544315	4444544315	4075000555	4075000555	22
4802092870	4802092870	3220141445	3220141445	21
4781507852	4781507852	3252992581	3252992581	21
4790468654	4790468654	3244670987	3244670987	21
4790933593	4790933593	3244249767	3244249767	21
4796795224	4796795224	3238404070	3238404070	21
4804059371	4804059371	3222114949	3222114949	21
4812542340	4812542340	3232164853	3232164853	21
4811715012	4811715012	3233014759	3233014759	21
4807753764	4807753764	3226685946	3226685946	21
4812506703	4812506703	3232210031	3232210031	21
4800654373	4800654373	3235121537	3235121537	21
4644233056	4644233056	3319457564	3319457564	21
4805541243	4805541243	3223733173	3223733173	21
4747762138	4747762138	3288652677	3288652677	21
4747652032	4747652032	3288900490	3288900490	21
4732824793	4732824793	3303219332	3303219332	21
4727634514	4727634514	3308550550	3308550550	21
4806241317	4806241317	3224644072	3224644072	21
1719385992	1719385992	4489902852	4489902852	20
3494345656	3494345656	3127102244	3127102244	20
3488858782	3488858782	3155787861	3155787861	20
3488240643	3488240643	3156345979	3156345979	20
3480948072	3480948072	3163728673	3163728673	20
